Index,Time,camToTurretTranformationDisplay[0],camToTurretTranformationDisplay[1],camToTurretTranformationDisplay[2],camToTurretTranformationDisplay[3],camToTurretTranformationDisplay[4],camToTurretTranformationDisplay[5],camToTurretTranformationDisplay[6],camToTurretTranformationDisplay[7],camToTurretTranformationDisplay[8],camToTurretTranformationDisplay[9],camToTurretTranformationDisplay[10],camToTurretTranformationDisplay[11],camToTurretTranformationDisplay[12],camToTurretTranformationDisplay[13],camToTurretTranformationDisplay[14],camToTurretTranformationDisplay[15]
7115,7.115002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7116,7.116046,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7117,7.116995,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7118,7.118004,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7119,7.118999,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7120,7.119997,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7121,7.120992,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7122,7.121990,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7123,7.122996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7124,7.123994,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7125,7.124991,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7126,7.126000,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7127,7.126995,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7128,7.127993,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7129,7.128999,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
